Time,China,India,USA
1960-1965,1.07,1.06,1.05
1965-1970,1.07,1.06,1.05
1970-1975,1.07,1.06,1.05
1975-1980,1.07,1.06,1.05
1980-1985,1.07,1.07,1.05
1985-1990,1.09,1.07,1.05
1990-1995,1.12,1.09,1.05
1995-2000,1.14,1.1,1.05
2000-2005,1.16,1.11,1.05
2005-2010,1.17,1.11,1.05
2010-2015,1.16,1.11,1.05
2015-2020,1.15,1.11,1.05
2020-2025,1.14,1.1,1.05
2025-2030,1.13,1.1,1.05
2030-2035,1.12,1.09,1.05
2035-2040,1.11,1.09,1.05
2040-2045,1.1,1.08,1.05
2045-2050,1.09,1.08,1.05
2050-2055,1.08,1.08,1.05
2055-2060,1.07,1.08,1.05
2060-2065,1.07,1.08,1.05
